iTOW,TOD,fTOD,Nt,N4,todValid,dateValid,tAcc
94501900,18884,-99637282,666,8,1,1,2
94502000,18884,362697,666,8,1,1,2
94502100,18884,100362680,666,8,1,1,5
94502200,18884,200362658,666,8,1,1,4
94502300,18884,300362637,666,8,1,1,3
94502400,18884,400362615,666,8,1,1,3
94502500,18885,-499637406,666,8,1,1,3
94502600,18885,-399637427,666,8,1,1,3
94502700,18885,-299637448,666,8,1,1,3
94502800,18885,-199637470,666,8,1,1,2
94502900,18885,-99637491,666,8,1,1,2
94503000,18885,362487,666,8,1,1,2
94503100,18885,100362466,666,8,1,1,2
94503200,18885,200362445,666,8,1,1,2
94503300,18885,300362424,666,8,1,1,2
94503400,18885,400362403,666,8,1,1,2
94503500,18886,-499637618,666,8,1,1,2
94503600,18886,-399637639,666,8,1,1,2
94503700,18886,-299637660,666,8,1,1,2
94503800,18886,-199637682,666,8,1,1,2
94503900,18886,-99637703,666,8,1,1,2
94504000,18886,362276,666,8,1,1,2
94504100,18886,100362255,666,8,1,1,2
94504200,18886,200362234,666,8,1,1,2
94504300,18886,300362212,666,8,1,1,2
94504400,18886,400362191,666,8,1,1,2
94504500,18887,-499637830,666,8,1,1,2
94504600,18887,-399637851,666,8,1,1,2
94504700,18887,-299637873,666,8,1,1,2
94504800,18887,-199637894,666,8,1,1,2
94504900,18887,-99637915,666,8,1,1,2
94505000,18887,362064,666,8,1,1,2
94505100,18887,100362043,666,8,1,1,2
94505200,18887,200362022,666,8,1,1,2
94505300,18887,300362001,666,8,1,1,2
94505400,18887,400361980,666,8,1,1,2
94505500,18888,-499638041,666,8,1,1,2
94505600,18888,-399638062,666,8,1,1,2
94505700,18888,-299638083,666,8,1,1,2
94505800,18888,-199638104,666,8,1,1,2
94505900,18888,-99638125,666,8,1,1,2
94506000,18888,361855,666,8,1,1,2
94506200,18888,200361813,666,8,1,1,2
94506400,18888,400361771,666,8,1,1,2
94506500,18889,-499638250,666,8,1,1,2
94506600,18889,-399638271,666,8,1,1,2
94506700,18889,-299638292,666,8,1,1,2
94506800,18889,-199638313,666,8,1,1,2
94506900,18889,-99638334,666,8,1,1,2
94507000,18889,361645,666,8,1,1,2
94507100,18889,100361624,666,8,1,1,2
94507200,18889,200361603,666,8,1,1,2
94507400,18889,400361560,666,8,1,1,2
94507600,18890,-399638482,666,8,1,1,2
94507700,18890,-299638503,666,8,1,1,2
94507800,18890,-199638524,666,8,1,1,2
94507900,18890,-99638545,666,8,1,1,2
94508000,18890,361433,666,8,1,1,2
94508100,18890,100361412,666,8,1,1,2
94508200,18890,200361391,666,8,1,1,2
94508300,18890,300361370,666,8,1,1,2
94508400,18890,400361348,666,8,1,1,2
94508500,18891,-499638673,666,8,1,1,2
94508600,18891,-399638694,666,8,1,1,2
94508700,18891,-299638715,666,8,1,1,2
94508800,18891,-199638736,666,8,1,1,2
94508900,18891,-99638758,666,8,1,1,2
94509000,18891,361221,666,8,1,1,2
94509200,18891,200361179,666,8,1,1,2
94509400,18891,400361136,666,8,1,1,2
94509600,18892,-399638906,666,8,1,1,2
94509700,18892,-299638928,666,8,1,1,2
94509900,18892,-99638970,666,8,1,1,2
94510100,18892,100360987,666,8,1,1,2
94510300,18892,300360945,666,8,1,1,2
94510400,18892,400360923,666,8,1,1,2
94510500,18893,-499639098,666,8,1,1,2
94510600,18893,-399639119,666,8,1,1,2
94510700,18893,-299639141,666,8,1,1,2
94510800,18893,-199639162,666,8,1,1,2
94510900,18893,-99639183,666,8,1,1,2
94511000,18893,360795,666,8,1,1,2
94511100,18893,100360774,666,8,1,1,2
94511200,18893,200360753,666,8,1,1,2
94511300,18893,300360732,666,8,1,1,2
94511400,18893,400360710,666,8,1,1,2
94511500,18894,-499639311,666,8,1,1,2
94511600,18894,-399639332,666,8,1,1,2
94511700,18894,-299639353,666,8,1,1,2
94511900,18894,-99639396,666,8,1,1,2
94512000,18894,360583,666,8,1,1,2
94512200,18894,200360541,666,8,1,1,2
94512300,18894,300360520,666,8,1,1,2
94512400,18894,400360498,666,8,1,1,2
94512600,18895,-399639544,666,8,1,1,2
94512700,18895,-299639565,666,8,1,1,2
94512900,18895,-99639607,666,8,1,1,2
94513000,18895,360372,666,8,1,1,2
94513200,18895,200360329,666,8,1,1,2
94513300,18895,300360308,666,8,1,1,2
94513400,18895,400360286,666,8,1,1,2
94513500,18896,-499639735,666,8,1,1,2
94513600,18896,-399639756,666,8,1,1,2
94513700,18896,-299639777,666,8,1,1,2
94513900,18896,-99639819,666,8,1,1,2
94514000,18896,360159,666,8,1,1,2
94514200,18896,200360117,666,8,1,1,2
94514400,18896,400360075,666,8,1,1,2
94514500,18897,-499639947,666,8,1,1,2
94514700,18897,-299639989,666,8,1,1,2
94514900,18897,-99640031,666,8,1,1,2
94515000,18897,359948,666,8,1,1,2
94515200,18897,200359905,666,8,1,1,2
94515300,18897,300359884,666,8,1,1,2
94515400,18897,400359863,666,8,1,1,2
94515500,18898,-499640159,666,8,1,1,2
94515700,18898,-299640201,666,8,1,1,2
94515900,18898,-99640243,666,8,1,1,2
94516000,18898,359735,666,8,1,1,2
94516200,18898,200359693,666,8,1,1,2
94516400,18898,400359650,666,8,1,1,2
94516500,18899,-499640371,666,8,1,1,2
94516600,18899,-399640392,666,8,1,1,2
94516700,18899,-299640414,666,8,1,1,2
94516800,18899,-199640435,666,8,1,1,2
94516900,18899,-99640456,666,8,1,1,2
94517100,18899,100359502,666,8,1,1,2
94517300,18899,300359459,666,8,1,1,2
94517400,18899,400359438,666,8,1,1,2
94517500,18900,-499640583,666,8,1,1,2
94517600,18900,-399640605,666,8,1,1,2
94517700,18900,-299640626,666,8,1,1,2
94517800,18900,-199640647,666,8,1,1,2
94518000,18900,359311,666,8,1,1,2
94518200,18900,200359268,666,8,1,1,2
94518300,18900,300359247,666,8,1,1,2
94518400,18900,400359226,666,8,1,1,2
94518500,18901,-499640795,666,8,1,1,2
94518600,18901,-399640817,666,8,1,1,2
94518700,18901,-299640838,666,8,1,1,2
94518800,18901,-199640859,666,8,1,1,2
94518900,18901,-99640880,666,8,1,1,2
94519000,18901,359099,666,8,1,1,2
94519100,18901,100359077,666,8,1,1,2
94519200,18901,200359056,666,8,1,1,2
94519300,18901,300359035,666,8,1,1,2
94519400,18901,400359014,666,8,1,1,2
94519500,18902,-499641007,666,8,1,1,2
94519600,18902,-399641028,666,8,1,1,2
94519700,18902,-299641050,666,8,1,1,2
94519800,18902,-199641071,666,8,1,1,2
94519900,18902,-99641092,666,8,1,1,2
94520000,18902,358887,666,8,1,1,2
94520100,18902,100358865,666,8,1,1,2
94520200,18902,200358844,666,8,1,1,2
94520300,18902,300358823,666,8,1,1,2
94520400,18902,400358802,666,8,1,1,2
94520500,18903,-499641219,666,8,1,1,2
94520600,18903,-399641240,666,8,1,1,2
94520700,18903,-299641262,666,8,1,1,2
94520800,18903,-199641283,666,8,1,1,2
94520900,18903,-99641304,666,8,1,1,2
94521000,18903,358675,666,8,1,1,2
94521100,18903,100358653,666,8,1,1,2
94521200,18903,200358632,666,8,1,1,2
94521300,18903,300358611,666,8,1,1,2
94521400,18903,400358590,666,8,1,1,2
94521500,18904,-499641431,666,8,1,1,2
94521600,18904,-399641453,666,8,1,1,2
94521700,18904,-299641474,666,8,1,1,2
94521800,18904,-199641495,666,8,1,1,2
94521900,18904,-99641516,666,8,1,1,2
94522000,18904,358463,666,8,1,1,2
94522100,18904,100358442,666,8,1,1,2
94522200,18904,200358421,666,8,1,1,2
94522300,18904,300358400,666,8,1,1,2
94522400,18904,400358379,666,8,1,1,2
94522500,18905,-499641642,666,8,1,1,2
94522600,18905,-399641663,666,8,1,1,2
94522700,18905,-299641684,666,8,1,1,2
94522800,18905,-199641705,666,8,1,1,2
94522900,18905,-99641727,666,8,1,1,2
94523000,18905,358252,666,8,1,1,2
94523100,18905,100358231,666,8,1,1,2
94523200,18905,200358210,666,8,1,1,2
94523300,18905,300358189,666,8,1,1,2
94523400,18905,400358168,666,8,1,1,2
94523500,18906,-499641853,666,8,1,1,2
94523600,18906,-399641874,666,8,1,1,2
94523700,18906,-299641895,666,8,1,1,2
94523800,18906,-199641916,666,8,1,1,2
94523900,18906,-99641937,666,8,1,1,2
94524000,18906,358042,666,8,1,1,2
94524100,18906,100358021,666,8,1,1,2
94524200,18906,200358000,666,8,1,1,2
94524300,18906,300357979,666,8,1,1,2
94524400,18906,400357958,666,8,1,1,2
94524500,18907,-499642063,666,8,1,1,2
94524600,18907,-399642084,666,8,1,1,2
94524700,18907,-299642105,666,8,1,1,2
94524800,18907,-199642126,666,8,1,1,2
94524900,18907,-99642148,666,8,1,1,2
94525000,18907,357831,666,8,1,1,2
94525100,18907,100357809,666,8,1,1,2
94525200,18907,200357787,666,8,1,1,2
94525300,18907,300357767,666,8,1,1,2
94525400,18907,400357746,666,8,1,1,2
94525500,18908,-499642275,666,8,1,1,2
94525600,18908,-399642296,666,8,1,1,2
94525700,18908,-299642317,666,8,1,1,2
94525800,18908,-199642338,666,8,1,1,2
94525900,18908,-99642359,666,8,1,1,2
94526000,18908,357620,666,8,1,1,2
94526100,18908,100357599,666,8,1,1,2
94526200,18908,200357577,666,8,1,1,2
94526300,18908,300357556,666,8,1,1,2
94526400,18908,400357535,666,8,1,1,2
94526500,18909,-499642486,666,8,1,1,2
94526600,18909,-399642507,666,8,1,1,2
94526700,18909,-299642528,666,8,1,1,2
94526800,18909,-199642549,666,8,1,1,2
94526900,18909,-99642570,666,8,1,1,2
94527000,18909,357408,666,8,1,1,2
94527100,18909,100357387,666,8,1,1,2
94527200,18909,200357366,666,8,1,1,2
94527300,18909,300357345,666,8,1,1,2
94527400,18909,400357324,666,8,1,1,2
94527500,18910,-499642697,666,8,1,1,2
94527600,18910,-399642718,666,8,1,1,2
94527700,18910,-299642739,666,8,1,1,2
94527800,18910,-199642760,666,8,1,1,2
94527900,18910,-99642781,666,8,1,1,2
94528000,18910,357198,666,8,1,1,2
94528100,18910,100357177,666,8,1,1,2
94528200,18910,200357156,666,8,1,1,2
94528300,18910,300357134,666,8,1,1,2
94528400,18910,400357113,666,8,1,1,2
94528500,18911,-499642908,666,8,1,1,2
94528600,18911,-399642929,666,8,1,1,2
94528700,18911,-299642950,666,8,1,1,2
94528800,18911,-199642971,666,8,1,1,2
94528900,18911,-99642993,666,8,1,1,2
94529000,18911,356986,666,8,1,1,2
94529100,18911,100356965,666,8,1,1,2
94529200,18911,200356944,666,8,1,1,2
94529300,18911,300356923,666,8,1,1,2
94529400,18911,400356902,666,8,1,1,2
94529500,18912,-499643119,666,8,1,1,2
94529600,18912,-399643140,666,8,1,1,2
94529700,18912,-299643162,666,8,1,1,2
94529800,18912,-199643183,666,8,1,1,2
94529900,18912,-99643204,666,8,1,1,2
94530000,18912,356775,666,8,1,1,2
94530200,18912,200356733,666,8,1,1,2
94530300,18912,300356712,666,8,1,1,2
94530400,18912,400356691,666,8,1,1,2
94530500,18913,-499643330,666,8,1,1,2
94530600,18913,-399643351,666,8,1,1,2
94530700,18913,-299643372,666,8,1,1,2
94530800,18913,-199643394,666,8,1,1,2
94530900,18913,-99643415,666,8,1,1,2
94531000,18913,356564,666,8,1,1,2
94531100,18913,100356543,666,8,1,1,2
94531200,18913,200356522,666,8,1,1,2
94531300,18913,300356501,666,8,1,1,2
94531400,18913,400356479,666,8,1,1,2
94531500,18914,-499643542,666,8,1,1,2
94531600,18914,-399643563,666,8,1,1,2
94531700,18914,-299643584,666,8,1,1,2
94531800,18914,-199643605,666,8,1,1,2
94531900,18914,-99643626,666,8,1,1,2
94532000,18914,356353,666,8,1,1,2
94532200,18914,200356311,666,8,1,1,2
94532300,18914,300356290,666,8,1,1,2
94532400,18914,400356269,666,8,1,1,2
94532500,18915,-499643752,666,8,1,1,2
94532600,18915,-399643773,666,8,1,1,2
94532700,18915,-299643794,666,8,1,1,2
94532800,18915,-199643815,666,8,1,1,2
94532900,18915,-99643836,666,8,1,1,2
94533000,18915,356143,666,8,1,1,2
94533100,18915,100356122,666,8,1,1,2
94533200,18915,200356100,666,8,1,1,2
94533300,18915,300356079,666,8,1,1,2
94533400,18915,400356058,666,8,1,1,2
94533500,18916,-499643963,666,8,1,1,2
94533600,18916,-399643984,666,8,1,1,2
94533700,18916,-299644005,666,8,1,1,2
94533800,18916,-199644026,666,8,1,1,2
94533900,18916,-99644047,666,8,1,1,2
94534000,18916,355932,666,8,1,1,2
94534100,18916,100355911,666,8,1,1,2
94534200,18916,200355890,666,8,1,1,2
94534300,18916,300355869,666,8,1,1,2
94534400,18916,400355848,666,8,1,1,2
94534500,18917,-499644173,666,8,1,1,2
94534600,18917,-399644194,666,8,1,1,2
94534700,18917,-299644216,666,8,1,1,2
94534800,18917,-199644237,666,8,1,1,2
94534900,18917,-99644258,666,8,1,1,2
94535000,18917,355721,666,8,1,1,2
94535100,18917,100355699,666,8,1,1,2
94535200,18917,200355678,666,8,1,1,2
94535300,18917,300355657,666,8,1,1,2
94535400,18917,400355636,666,8,1,1,2
94535500,18918,-499644385,666,8,1,1,2
94535600,18918,-399644406,666,8,1,1,2
94535700,18918,-299644427,666,8,1,1,2
94535800,18918,-199644448,666,8,1,1,2
94535900,18918,-99644470,666,8,1,1,2
94536000,18918,355509,666,8,1,1,2
94536200,18918,200355467,666,8,1,1,2
94536300,18918,300355446,666,8,1,1,2
94536400,18918,400355425,666,8,1,1,2
94536500,18919,-499644596,666,8,1,1,2
94536600,18919,-399644617,666,8,1,1,2
94536700,18919,-299644638,666,8,1,1,2
94536800,18919,-199644659,666,8,1,1,2
94536900,18919,-99644681,666,8,1,1,2
94537000,18919,355298,666,8,1,1,2
94537100,18919,100355277,666,8,1,1,2
94537200,18919,200355256,666,8,1,1,2
94537300,18919,300355235,666,8,1,1,2
94537400,18919,400355214,666,8,1,1,2
94537500,18920,-499644807,666,8,1,1,2
94537600,18920,-399644828,666,8,1,1,2
94537700,18920,-299644849,666,8,1,1,2
94537800,18920,-199644870,666,8,1,1,2
94537900,18920,-99644891,666,8,1,1,2
94538000,18920,355087,666,8,1,1,2
94538200,18920,200355045,666,8,1,1,2
94538300,18920,300355024,666,8,1,1,2
94538400,18920,400355003,666,8,1,1,2
94538500,18921,-499645019,666,8,1,1,2
94538600,18921,-399645040,666,8,1,1,2
94538700,18921,-299645061,666,8,1,1,2
94538800,18921,-199645082,666,8,1,1,2
94538900,18921,-99645103,666,8,1,1,2
94539000,18921,354876,666,8,1,1,2
94539100,18921,100354855,666,8,1,1,2
94539200,18921,200354834,666,8,1,1,2
94539300,18921,300354812,666,8,1,1,2
94539400,18921,400354791,666,8,1,1,2
94539500,18922,-499645230,666,8,1,1,2
94539600,18922,-399645251,666,8,1,1,2
94539700,18922,-299645272,666,8,1,1,2
94539800,18922,-199645293,666,8,1,1,2
94539900,18922,-99645314,666,8,1,1,2
94540000,18922,354665,666,8,1,1,2
94540200,18922,200354622,666,8,1,1,2
94540300,18922,300354601,666,8,1,1,2
94540400,18922,400354580,666,8,1,1,2
94540500,18923,-499645441,666,8,1,1,2
94540600,18923,-399645462,666,8,1,1,2
94540700,18923,-299645483,666,8,1,1,2
94540800,18923,-199645504,666,8,1,1,2
94540900,18923,-99645525,666,8,1,1,2
94541000,18923,354454,666,8,1,1,2
94541100,18923,100354432,666,8,1,1,2
94541200,18923,200354411,666,8,1,1,2
94541300,18923,300354390,666,8,1,1,2
94541400,18923,400354369,666,8,1,1,2
94541600,18924,-399645673,666,8,1,1,2
94541700,18924,-299645694,666,8,1,1,2
94541800,18924,-199645715,666,8,1,1,2
94541900,18924,-99645736,666,8,1,1,2
94542000,18924,354243,666,8,1,1,2
94542100,18924,100354222,666,8,1,1,2
94542200,18924,200354201,666,8,1,1,2
94542300,18924,300354180,666,8,1,1,2
94542400,18924,400354159,666,8,1,1,2
94542500,18925,-499645862,666,8,1,1,2
94542600,18925,-399645883,666,8,1,1,2
94542700,18925,-299645904,666,8,1,1,2
94542800,18925,-199645926,666,8,1,1,2
94542900,18925,-99645947,666,8,1,1,2
94543000,18925,354032,666,8,1,1,2
94543200,18925,200353990,666,8,1,1,2
94543300,18925,300353969,666,8,1,1,2
94543400,18925,400353947,666,8,1,1,2
94543500,18926,-499646074,666,8,1,1,2
94543600,18926,-399646095,666,8,1,1,2
94543700,18926,-299646116,666,8,1,1,2
94543800,18926,-199646137,666,8,1,1,2
94543900,18926,-99646159,666,8,1,1,2
94544000,18926,353820,666,8,1,1,2
94544200,18926,200353778,666,8,1,1,2
94544300,18926,300353757,666,8,1,1,2
94544400,18926,400353736,666,8,1,1,2
94544500,18927,-499646285,666,8,1,1,2
94544600,18927,-399646307,666,8,1,1,2
94544700,18927,-299646328,666,8,1,1,2
94544800,18927,-199646349,666,8,1,1,2
94544900,18927,-99646370,666,8,1,1,2
94545000,18927,353609,666,8,1,1,2
94545100,18927,100353587,666,8,1,1,2
94545200,18927,200353566,666,8,1,1,2
94545400,18927,400353524,666,8,1,1,2
94545500,18928,-499646497,666,8,1,1,2
94545600,18928,-399646518,666,8,1,1,2
94545700,18928,-299646539,666,8,1,1,2
94545800,18928,-199646560,666,8,1,1,2
94545900,18928,-99646581,666,8,1,1,2
94546000,18928,353397,666,8,1,1,2
94546200,18928,200353355,666,8,1,1,2
94546300,18928,300353334,666,8,1,1,2
94546400,18928,400353313,666,8,1,1,2
94546500,18929,-499646708,666,8,1,1,2
94546600,18929,-399646730,666,8,1,1,2
94546700,18929,-299646751,666,8,1,1,2
94546800,18929,-199646772,666,8,1,1,2
94546900,18929,-99646793,666,8,1,1,2
94547000,18929,353186,666,8,1,1,2
94547200,18929,200353144,666,8,1,1,2
94547300,18929,300353122,666,8,1,1,2
94547400,18929,400353101,666,8,1,1,2
94547500,18930,-499646920,666,8,1,1,2
94547600,18930,-399646941,666,8,1,1,2
94547700,18930,-299646963,666,8,1,1,2
94547800,18930,-199646984,666,8,1,1,2
94547900,18930,-99647005,666,8,1,1,2
94548000,18930,352974,666,8,1,1,2
94548200,18930,200352931,666,8,1,1,2
94548300,18930,300352910,666,8,1,1,2
94548400,18930,400352889,666,8,1,1,2
94548500,18931,-499647133,666,8,1,1,2
94548600,18931,-399647154,666,8,1,1,2
94548700,18931,-299647176,666,8,1,1,2
94548800,18931,-199647197,666,8,1,1,2
94548900,18931,-99647219,666,8,1,1,2
94549000,18931,352760,666,8,1,1,2
94549200,18931,200352717,666,8,1,1,2
94549300,18931,300352696,666,8,1,1,2
94549400,18931,400352674,666,8,1,1,2
94549500,18932,-499647347,666,8,1,1,2
94549600,18932,-399647368,666,8,1,1,2
94549700,18932,-299647389,666,8,1,1,2
94549800,18932,-199647410,666,8,1,1,2
94549900,18932,-99647431,666,8,1,1,2
94550000,18932,352547,666,8,1,1,2
94550200,18932,200352505,666,8,1,1,2
94550300,18932,300352484,666,8,1,1,2
94550400,18932,400352463,666,8,1,1,2
94550500,18933,-499647558,666,8,1,1,2
94550600,18933,-399647579,666,8,1,1,2
94550700,18933,-299647600,666,8,1,1,2
94550800,18933,-199647622,666,8,1,1,2
94550900,18933,-99647643,666,8,1,1,2
94551000,18933,352336,666,8,1,1,2
94551100,18933,100352315,666,8,1,1,2
94551200,18933,200352294,666,8,1,1,2
94551300,18933,300352273,666,8,1,1,2
94551400,18933,400352252,666,8,1,1,2
94551500,18934,-499647769,666,8,1,1,2
94551600,18934,-399647790,666,8,1,1,2
94551700,18934,-299647812,666,8,1,1,2
94551800,18934,-199647833,666,8,1,1,2
94551900,18934,-99647855,666,8,1,1,2
94552000,18934,352124,666,8,1,1,2
94552200,18934,200352082,666,8,1,1,2
94552300,18934,300352061,666,8,1,1,2
94552400,18934,400352040,666,8,1,1,2
94552500,18935,-499647981,666,8,1,1,2
94552600,18935,-399648003,666,8,1,1,2
94552700,18935,-299648024,666,8,1,1,2
94552800,18935,-199648045,666,8,1,1,2
94552900,18935,-99648066,666,8,1,1,2
94553000,18935,351913,666,8,1,1,2
94553100,18935,100351892,666,8,1,1,2
94553200,18935,200351871,666,8,1,1,2
94553300,18935,300351850,666,8,1,1,2
94553400,18935,400351828,666,8,1,1,2
94553500,18936,-499648193,666,8,1,1,2
94553600,18936,-399648214,666,8,1,1,2
94553700,18936,-299648235,666,8,1,1,2
94553800,18936,-199648256,666,8,1,1,2
94553900,18936,-99648278,666,8,1,1,2
94554000,18936,351701,666,8,1,1,2
94554200,18936,200351658,666,8,1,1,2
94554300,18936,300351637,666,8,1,1,2
94554400,18936,400351616,666,8,1,1,2
94554500,18937,-499648405,666,8,1,1,2
94554600,18937,-399648426,666,8,1,1,2
94554700,18937,-299648447,666,8,1,1,2
94554800,18937,-199648468,666,8,1,1,2
94554900,18937,-99648490,666,8,1,1,2
94555000,18937,351489,666,8,1,1,2
94555100,18937,100351468,666,8,1,1,2
94555200,18937,200351447,666,8,1,1,2
94555300,18937,300351425,666,8,1,1,2
94555400,18937,400351404,666,8,1,1,2
94555500,18938,-499648617,666,8,1,1,2
94555600,18938,-399648638,666,8,1,1,2
94555700,18938,-299648660,666,8,1,1,2
94555800,18938,-199648681,666,8,1,1,2
94555900,18938,-99648702,666,8,1,1,2
94556000,18938,351276,666,8,1,1,2
94556200,18938,200351234,666,8,1,1,2
94556300,18938,300351213,666,8,1,1,2
94556400,18938,400351192,666,8,1,1,2
94556500,18939,-499648830,666,8,1,1,2
94556600,18939,-399648851,666,8,1,1,2
94556700,18939,-299648872,666,8,1,1,2
