gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08
2,29,1,0,8,3,2,0,282538824,195038515,4021845987,2952626176,2657107755,414063850,2863296605,3750412288
2,27,1,0,8,4,2,0,272179007,3182751625,2148537890,804438016,2214607528,1827859178,2863286802,1279967232
2,26,1,0,8,37,2,0,270499763,1414385374,3780847982,402767872,2821747346,2210015466,2863297487,2114633728
2,19,1,0,8,0,2,0,9786709,1431655765,1431655765,1431846912,2621784064,42,2863296592,3971956736
2,21,1,0,8,1,2,0,271087167,2176127369,2149307658,2348056576,2401255170,2707040106,2863294240,1128972288
1,128,0,0,9,39,2,3,2584920099,4292869631,4291035061,401940477,4292869631,3757939642,398196735,4073678400
2,19,5,0,8,73,2,101,9786709,1431655765,1431655765,1431846912,2621800448,42,2863305477,721371136
2,29,5,0,8,77,2,101,9786709,1431655765,1431655765,1431846912,2621800448,42,2863305477,721371136
1,129,0,0,9,38,2,225,3322781692,6290943,4294836191,4261404668,0,536845241,4223375787,2695806848
1,128,0,0,9,39,2,3,3322470399,4259315199,3757965279,4294828031,4280286208,2684332987,3148060603,2333259264
1,137,0,0,9,36,2,6,3322765308,2096639,3221356511,4261404668,0,536845241,4223375787,3025239808
2,29,1,0,8,3,2,0,9786709,1431655765,1431655765,1431846912,2621831792,1212411434,2863291514,369868800
2,27,1,0,8,4,2,0,9786709,1431655765,1431655765,1431846912,2621817053,2286150634,2863296658,4027301888
2,26,1,0,8,37,2,0,9786709,1431655765,1431655765,1431846912,2621823672,2277763306,2863285694,4207656960
2,19,1,0,8,0,2,0,9786709,1431655765,1431655765,1431846912,2621816832,42,2863296380,3565109248
2,21,1,0,8,1,2,0,9786709,1431655765,1431655765,1431846912,2621831754,1107554218,2863289634,1766572032
1,129,0,0,9,38,2,225,1393139709,4292869631,3757965279,4261404668,2097151,4294949819,3149636515,403789760
1,128,0,0,9,39,2,3,1393483773,4292869631,4294311903,4261404671,4286578687,1610595257,2075891111,2782633472
1,137,0,0,9,36,2,6,1393123325,4292869631,3757965279,4261404668,2097151,3221470139,3149636515,444999104
2,33,5,0,8,72,2,116,9786709,1431655765,1431655765,1431846912,2621833216,42,2863312722,3196010496
2,19,5,0,8,73,2,116,9786709,1431655765,1431655765,1431846912,2621833216,42,2863312722,3196010496
2,29,5,0,8,77,2,116,9786709,1431655765,1431655765,1431846912,2621833216,42,2863312722,3196010496
6,9,0,5,4,15,2,0,135587900,1576825112,1612226560,46006277,,,,
6,9,2,5,4,91,2,116,135587900,1576825112,1612226560,46006277,,,,
2,26,5,0,8,64,2,116,9786709,1431655765,1431655765,1431846912,2621833216,42,2863312722,3196010496
6,22,0,4,4,12,2,0,135587899,1660455530,1547765760,46006277,,,,
6,7,0,12,4,30,2,0,135589257,3470819529,375500800,46006277,,,,
6,10,0,0,4,14,2,0,135588981,564963825,1732610048,46006277,,,,
6,16,0,6,4,16,2,0,135588072,1234202520,2851637248,46006277,,,,
6,22,2,4,4,90,2,116,135587899,1660455530,1547765760,46006277,,,,
6,7,2,12,4,100,2,116,135589257,3470819529,375500800,46006277,,,,
6,21,0,11,4,17,2,0,135588904,2694054302,1495621632,46006277,,,,
2,27,5,0,8,76,2,117,9786709,1431655765,1431655765,1431846912,2621833216,42,2863312722,3196010496
0,10,4,0,10,82,2,117,2334700012,547684830,1280772633,2935365822,261472254,2564086,1245717542,1075265535
0,25,4,0,10,86,2,117,2338632172,547701045,1343752616,3443933139,3748675593,2147033090,3286244124,3760379136
0,24,4,0,10,98,2,117,2338370028,547695147,3010414980,1932107635,3491127300,2682642430,956309004,3223039999
0,28,4,0,10,84,2,117,2339418604,547695559,3924822475,529735765,3498713084,2147745790,1151344420,3759926271
5,2,4,0,10,95,2,117,2332602860,547507038,1684506388,1300506504,2651381682,3219308538,3953119616,1615417344
5,3,4,0,10,96,2,117,2332865004,547516138,908265255,2804098751,1075298316,2681798663,2579508563,4292791808
5,4,4,0,10,97,2,117,2333127148,547492154,2570552978,518744216,2716442637,3223674836,534762675,1614209278
1,129,0,0,9,38,2,225,2584780797,4292869631,3757834271,4261404669,4292869631,3758078907,2814098363,3097898752
3,41,0,0,10,11,2,225,948965747,68686005,135540119,758287492,673846679,969478346,238165962,134234359
3,32,0,0,10,25,2,225,948965747,68686005,135540119,758939571,120198599,969478346,238165962,134234612
3,38,0,0,10,7,2,0,948965747,68686005,135540119,755154980,740955511,969478346,238165962,134222069
3,39,0,0,10,9,2,0,948965747,68686005,135540119,755310895,304747863,969478346,238165962,134250490
3,6,0,0,10,24,2,0,948965747,68681904,135540119,755322659,808064439,969478346,238165962,134231283
3,8,0,0,10,6,2,0,948965747,68681904,135540119,755437353,959059431,969478346,238165962,134237177
3,13,0,0,10,10,2,0,948965747,68681904,135540119,758771897,455742727,969478346,238165962,134247668
3,8,2,0,10,65,2,118,948965747,68681904,135540119,755437353,959059431,969478346,238165962,134237177
3,13,2,0,10,67,2,118,948965747,68681904,135540119,758771897,455742727,969478346,238165962,134247668
